user_id,edad,sexo,estado_civil,numero_hijos,empleo_formal,ingreso_mensual,linea_credito,gasto_total,credito_utilizado,monto_promedio_ahorro,ratio_gasto_ingreso,pct_credito_ocupado,tasa_ahorro_real,perfil_financiero
20,46,f,unión libre,3,0,78244,50000,46873.52307692308,13607,7824.4,0.5991,0.2721,0.1,SALUDABLE
21,26,m,divorciado,3,1,30833,120000,53068.96923076923,90906,6783.26,1.7212,0.7575,0.22,MODERADO
22,52,f,divorciado,2,1,71646,120000,37279.18461538461,79817,7164.6,0.5203,0.6651,0.1,MODERADO
23,61,m,soltero,3,1,42003,80000,41449.61538461538,53031,4200.3,0.9868,0.6629,0.1,MODERADO
24,42,f,soltero,4,0,22170,15000,38333.2923076923,790,2217.0,1.7291,0.0527,0.1,RIESGOSO
25,70,m,unión libre,4,0,67796,50000,47244.25384615384,23812,14915.12,0.6969,0.4762,0.22,SALUDABLE
26,32,f,casado,1,1,66827,30000,43219.13846153846,22369,2004.81,0.6467,0.7456,0.03,SALUDABLE
27,65,f,unión libre,1,1,56906,15000,33645.24615384615,9068,12519.32,0.5912,0.6045,0.22,SALUDABLE
28,42,f,unión libre,4,0,75720,50000,35909.2923076923,24663,16658.4,0.4742,0.4933,0.22,SALUDABLE
29,29,f,divorciado,2,1,53135,80000,38625.96153846154,18096,11689.7,0.7269,0.2262,0.22,SALUDABLE
30,29,m,divorciado,1,0,39726,50000,41073.32307692308,13551,1191.78,1.0339,0.271,0.03,RIESGOSO
31,44,m,casado,0,0,38753,50000,34427.43076923077,48750,3875.3,0.8884,0.975,0.1,MODERADO
32,37,f,unión libre,3,0,51286,15000,39060.92307692308,13820,5128.6,0.7616,0.9213,0.1,SALUDABLE
33,20,f,divorciado,4,1,14433,50000,46541.04615384615,14465,1443.3,3.2246,0.2893,0.1,RIESGOSO
34,58,f,soltero,2,0,49853,120000,49117.261538461535,74044,1495.59,0.9852,0.617,0.03,MODERADO
35,27,m,soltero,1,0,11433,120000,48863.13076923077,80864,342.99,4.2739,0.6739,0.03,MODERADO
36,48,f,divorciado,4,1,42034,120000,49980.44615384616,75385,9247.48,1.189,0.6282,0.22,MODERADO
37,57,f,divorciado,0,0,11800,80000,38173.51538461538,6613,354.0,3.235,0.0827,0.03,RIESGOSO
38,36,m,unión libre,4,0,8110,120000,35846.78461538461,107577,1784.2,4.4201,0.8965,0.22,MODERADO
39,39,m,casado,4,0,73004,80000,45657.78461538461,50222,2190.12,0.6254,0.6278,0.03,MODERADO
40,24,f,divorciado,0,1,32833,30000,46957.94615384615,1169,984.99,1.4302,0.039,0.03,RIESGOSO
41,32,f,casado,4,0,38107,15000,52262.51538461538,6745,8383.54,1.3715,0.4497,0.22,SALUDABLE
42,63,m,casado,1,0,13393,50000,44760.80769230769,37652,401.79,3.3421,0.753,0.03,RIESGOSO
43,34,m,soltero,1,1,68429,30000,44087.50769230769,11710,2052.87,0.6443,0.3903,0.03,SALUDABLE
44,36,f,unión libre,3,0,61383,50000,38135.13846153846,28046,1841.49,0.6213,0.5609,0.03,SALUDABLE
45,40,f,divorciado,2,0,40011,30000,50954.68461538461,7688,4001.1,1.2735,0.2563,0.1,SALUDABLE
46,65,m,casado,2,1,48536,50000,37104.96153846154,44908,1456.08,0.7645,0.8982,0.03,MODERADO
47,56,m,soltero,2,1,47650,80000,50608.7,48614,1429.5,1.0621,0.6077,0.03,MODERADO
48,60,f,unión libre,2,0,73987,15000,49993.28461538461,1866,7398.7,0.6757,0.1244,0.1,SALUDABLE
49,70,m,soltero,1,0,34920,50000,54865.91538461538,10291,3492.0,1.5712,0.2058,0.1,RIESGOSO
50,65,m,unión libre,0,1,22461,15000,34164.92307692308,6055,2246.1,1.5211,0.4037,0.1,RIESGOSO
51,21,m,casado,4,0,72615,120000,39186.54615384615,98617,7261.5,0.5396,0.8218,0.1,MODERADO
52,25,f,divorciado,1,0,31006,15000,39688.51538461538,9636,930.18,1.28,0.6424,0.03,RIESGOSO
53,48,f,casado,1,0,13776,15000,48586.15384615384,2091,1377.6,3.5269,0.1394,0.1,RIESGOSO
54,45,f,divorciado,3,1,56170,80000,33570.13076923077,41552,1685.1,0.5977,0.5194,0.03,MODERADO
55,43,m,soltero,1,1,70685,15000,36069.23846153846,6373,15550.7,0.5103,0.4249,0.22,SALUDABLE
56,32,m,casado,1,0,62484,120000,39463.32307692307,14114,13746.48,0.6316,0.1176,0.22,SALUDABLE
57,34,f,divorciado,2,1,45122,80000,40391.13076923077,73681,4512.2,0.8952,0.921,0.1,MODERADO
58,61,m,soltero,0,1,8947,120000,42751.553846153845,103442,1968.34,4.7783,0.862,0.22,MODERADO
59,38,f,soltero,2,0,78202,30000,46962.24615384615,27758,7820.2,0.6005,0.9253,0.1,SALUDABLE
60,66,m,soltero,0,1,55652,120000,33068.34615384616,22492,5565.2,0.5942,0.1874,0.1,SALUDABLE
61,21,f,casado,4,1,68003,30000,50676.66923076923,14383,14960.66,0.7452,0.4794,0.22,SALUDABLE
62,62,m,divorciado,1,1,21508,120000,54289.46153846154,80098,645.24,2.5242,0.6675,0.03,MODERADO
63,58,m,divorciado,1,1,43231,30000,49613.50769230769,19059,4323.1,1.1476,0.6353,0.1,SALUDABLE
64,62,m,casado,2,0,34644,15000,37989.2923076923,5937,3464.4,1.0966,0.3958,0.1,SALUDABLE
65,50,m,soltero,4,1,70515,120000,46757.96923076923,113876,15513.3,0.6631,0.949,0.22,MODERADO
66,39,f,casado,1,1,62932,80000,38377.53076923077,62324,6293.2,0.6098,0.779,0.1,MODERADO
67,51,m,divorciado,1,0,24558,120000,47116.63846153846,15515,2455.8,1.9186,0.1293,0.1,RIESGOSO
68,63,f,casado,3,1,38493,120000,46275.21538461538,8681,3849.3,1.2022,0.0723,0.1,RIESGOSO
69,51,f,soltero,0,0,22559,30000,35231.66923076923,3774,676.77,1.5618,0.1258,0.03,RIESGOSO
70,54,f,unión libre,0,0,73395,30000,51127.44615384616,15280,7339.5,0.6966,0.5093,0.1,SALUDABLE
71,43,f,soltero,3,1,63683,30000,41773.03846153846,916,1910.49,0.656,0.0305,0.03,SALUDABLE
72,22,m,casado,4,1,21226,15000,51168.21538461538,8170,636.78,2.4106,0.5447,0.03,RIESGOSO
73,64,f,divorciado,3,1,29305,80000,39591.81538461538,61254,2930.5,1.351,0.7657,0.1,MODERADO
74,41,f,casado,3,1,38115,120000,41347.34615384616,108504,8385.3,1.0848,0.9042,0.22,MODERADO
75,36,m,soltero,3,1,72651,50000,41216.0,5692,15983.22,0.5673,0.1138,0.22,SALUDABLE
76,36,m,unión libre,2,1,36261,120000,36267.484615384616,96119,1087.83,1.0002,0.801,0.03,MODERADO
77,26,m,casado,4,0,29783,30000,36180.03846153846,14339,6552.26,1.2148,0.478,0.22,SALUDABLE
78,28,f,casado,3,1,72237,50000,44690.15384615384,44916,2167.11,0.6187,0.8983,0.03,MODERADO
79,23,m,unión libre,1,1,42189,15000,49648.56153846154,1889,4218.9,1.1768,0.1259,0.1,SALUDABLE
80,25,f,divorciado,2,0,56404,50000,42355.76923076923,27898,5640.4,0.7509,0.558,0.1,SALUDABLE
81,24,f,casado,1,0,45925,30000,50038.18461538461,28340,1377.75,1.0896,0.9447,0.03,SALUDABLE
82,48,f,unión libre,1,0,27205,120000,40686.31538461538,38316,5985.1,1.4955,0.3193,0.22,MODERADO
83,46,f,casado,1,0,38382,30000,45773.95384615385,10066,3838.2,1.1926,0.3355,0.1,SALUDABLE
84,66,m,divorciado,2,1,67151,30000,34759.53846153846,21313,6715.1,0.5176,0.7104,0.1,SALUDABLE
85,43,f,unión libre,4,1,11732,15000,49782.7,5432,351.96,4.2433,0.3621,0.03,RIESGOSO
86,70,m,casado,3,0,62920,80000,48028.03846153846,77518,1887.6,0.7633,0.969,0.03,MODERADO
87,38,m,soltero,1,1,74338,120000,47894.16923076923,38824,7433.8,0.6443,0.3235,0.1,SALUDABLE
88,51,m,soltero,2,1,48142,15000,55988.94615384616,13107,10591.24,1.163,0.8738,0.22,SALUDABLE
89,36,f,unión libre,4,1,22220,15000,39399.74615384615,6470,4888.4,1.7732,0.4313,0.22,RIESGOSO
90,47,f,unión libre,2,0,59488,30000,58880.3923076923,15408,1784.64,0.9898,0.5136,0.03,SALUDABLE
91,67,m,soltero,0,0,52713,120000,57377.61538461538,9225,1581.39,1.0885,0.0769,0.03,RIESGOSO
92,54,f,casado,1,1,38005,120000,37318.94615384616,79873,1140.15,0.9819,0.6656,0.03,MODERADO
93,48,m,soltero,1,0,28005,30000,40548.76923076923,16403,2800.5,1.4479,0.5468,0.1,RIESGOSO
94,59,m,divorciado,4,1,38345,15000,56544.21538461538,4694,3834.5,1.4746,0.3129,0.1,RIESGOSO
95,25,m,soltero,1,1,71733,30000,48411.97692307692,186,7173.3,0.6749,0.0062,0.1,SALUDABLE
96,59,f,unión libre,1,1,71483,50000,40846.984615384616,37236,7148.3,0.5714,0.7447,0.1,SALUDABLE
97,48,m,casado,1,0,12757,80000,44840.81538461539,47785,382.71,3.515,0.5973,0.03,RIESGOSO
98,36,f,soltero,2,1,58666,80000,42172.06923076923,10239,5866.6,0.7189,0.128,0.1,SALUDABLE
99,68,m,soltero,0,1,31274,15000,47053.38461538462,2186,938.22,1.5046,0.1457,0.03,RIESGOSO
100,37,m,casado,4,1,59748,50000,42074.65384615384,280,5974.8,0.7042,0.0056,0.1,SALUDABLE
101,54,f,soltero,2,1,62464,15000,36819.92307692308,5163,13742.08,0.5895,0.3442,0.22,SALUDABLE
102,35,m,soltero,3,1,73231,15000,40336.3,1877,7323.1,0.5508,0.1251,0.1,SALUDABLE
103,33,f,soltero,2,1,69785,30000,43782.42307692308,17448,6978.5,0.6274,0.5816,0.1,SALUDABLE
104,53,f,divorciado,4,0,14924,120000,38711.261538461535,23565,1492.4,2.5939,0.1964,0.1,RIESGOSO
105,25,f,unión libre,4,0,77375,15000,49074.53076923077,4286,7737.5,0.6342,0.2857,0.1,SALUDABLE
106,33,f,unión libre,3,1,42588,50000,51326.57692307692,39064,1277.64,1.2052,0.7813,0.03,MODERADO
107,19,f,casado,1,0,22202,30000,41354.25384615384,27498,2220.2,1.8626,0.9166,0.1,RIESGOSO
108,66,f,casado,4,0,53160,15000,46365.51538461538,9100,5316.0,0.8722,0.6067,0.1,SALUDABLE
109,68,m,casado,1,0,51369,15000,48349.27692307692,9915,5136.9,0.9412,0.661,0.1,SALUDABLE
110,42,f,soltero,4,1,71932,50000,37294.67692307692,17151,2157.96,0.5185,0.343,0.03,SALUDABLE
111,55,f,casado,3,0,63452,80000,47852.5,57811,6345.2,0.7542,0.7226,0.1,MODERADO
112,21,f,casado,4,1,77074,80000,42593.9,14747,2312.22,0.5526,0.1843,0.03,SALUDABLE
113,63,f,casado,4,1,10239,15000,36922.86923076923,3749,2252.58,3.6061,0.2499,0.22,RIESGOSO
114,49,f,casado,3,0,22969,30000,51614.25384615384,812,689.07,2.2471,0.0271,0.03,RIESGOSO
115,46,m,casado,0,0,42013,120000,38231.13846153846,6137,4201.3,0.91,0.0511,0.1,SALUDABLE
116,43,m,divorciado,3,0,75605,30000,50987.26923076923,22943,2268.15,0.6744,0.7648,0.03,SALUDABLE
117,30,m,casado,4,1,66207,15000,39696.70769230769,13138,1986.21,0.5996,0.8759,0.03,SALUDABLE
118,18,f,casado,4,0,27278,120000,54720.57692307692,59833,6001.16,2.006,0.4986,0.22,MODERADO
119,22,f,divorciado,0,0,24581,15000,43614.06153846154,1425,737.43,1.7743,0.095,0.03,RIESGOSO
120,69,f,divorciado,4,0,62018,50000,48792.45384615385,8618,6201.8,0.7867,0.1724,0.1,SALUDABLE
121,24,f,casado,1,1,14490,50000,47177.10769230769,46418,1449.0,3.2558,0.9284,0.1,RIESGOSO
122,33,f,casado,0,0,67975,50000,38600.65384615384,23181,6797.5,0.5679,0.4636,0.1,SALUDABLE
123,20,m,soltero,3,1,14164,80000,37309.95384615385,33222,1416.4,2.6341,0.4153,0.1,RIESGOSO
124,34,m,casado,4,1,39381,30000,50040.53846153846,23598,8663.82,1.2707,0.7866,0.22,SALUDABLE
125,47,f,casado,4,1,60468,50000,46847.08461538461,26655,1814.04,0.7747,0.5331,0.03,SALUDABLE
126,69,m,soltero,0,0,43593,80000,42221.88461538462,64458,1307.79,0.9685,0.8057,0.03,MODERADO
127,49,f,unión libre,4,1,67000,50000,32455.123076923075,5834,6700.0,0.4844,0.1167,0.1,SALUDABLE
128,31,f,unión libre,3,1,77306,120000,47467.13076923077,51328,2319.18,0.614,0.4277,0.03,MODERADO
129,29,m,unión libre,4,0,52989,80000,37521.62307692308,51668,5298.9,0.7081,0.6458,0.1,MODERADO
130,59,f,casado,4,1,31577,15000,43821.65384615384,7069,3157.7,1.3878,0.4713,0.1,RIESGOSO
131,21,f,divorciado,4,1,29497,80000,39658.06153846154,57166,6489.34,1.3445,0.7146,0.22,MODERADO
132,64,m,divorciado,2,0,42763,50000,47351.53846153846,20711,1282.89,1.1073,0.4142,0.03,RIESGOSO
133,50,f,divorciado,2,0,66802,15000,32877.78461538461,896,6680.2,0.4922,0.0597,0.1,SALUDABLE
134,63,m,divorciado,4,1,45681,30000,45775.50769230769,21317,1370.43,1.0021,0.7106,0.03,SALUDABLE
135,50,f,casado,1,1,39718,120000,56402.17692307692,7910,3971.8,1.4201,0.0659,0.1,RIESGOSO
136,21,f,unión libre,0,0,26900,50000,29182.6,35650,5918.0,1.0849,0.713,0.22,SALUDABLE
137,23,f,soltero,1,1,31735,30000,38110.02307692308,29863,3173.5,1.2009,0.9954,0.1,SALUDABLE
138,31,m,soltero,0,0,10382,120000,39021.261538461535,68025,1038.2,3.7585,0.5669,0.1,MODERADO
139,25,m,soltero,3,0,36713,15000,32959.0,4333,3671.3,0.8977,0.2889,0.1,SALUDABLE
140,23,f,divorciado,2,1,29446,50000,39484.42307692308,16828,2944.6,1.3409,0.3366,0.1,RIESGOSO
141,53,m,divorciado,1,0,34581,120000,58482.88461538461,115227,3458.1,1.6912,0.9602,0.1,MODERADO
142,51,m,casado,3,1,17554,50000,49979.15384615384,32981,3861.88,2.8472,0.6596,0.22,RIESGOSO
143,29,f,divorciado,1,1,44655,80000,44407.31538461539,75703,1339.65,0.9945,0.9463,0.03,MODERADO
144,43,m,divorciado,1,0,78438,15000,49705.81538461538,5682,7843.8,0.6337,0.3788,0.1,SALUDABLE
145,28,m,casado,1,1,9130,15000,55695.553846153845,8737,273.9,6.1003,0.5825,0.03,RIESGOSO
146,18,f,casado,4,1,49019,80000,49907.84615384615,35116,1470.57,1.0181,0.439,0.03,MODERADO
147,49,m,casado,3,1,34748,30000,32774.2,15192,1042.44,0.9432,0.5064,0.03,RIESGOSO
148,64,f,soltero,1,1,61234,80000,34137.592307692306,17358,1837.02,0.5575,0.217,0.03,SALUDABLE
149,30,f,divorciado,4,0,79848,30000,49691.96153846154,7056,7984.8,0.6223,0.2352,0.1,SALUDABLE
150,67,m,divorciado,0,1,19773,80000,36125.5,31312,4350.06,1.827,0.3914,0.22,RIESGOSO
151,61,m,divorciado,3,1,55626,50000,35809.56923076923,19416,5562.6,0.6438,0.3883,0.1,SALUDABLE
152,40,f,casado,2,1,51276,80000,36303.730769230766,53234,1538.28,0.708,0.6654,0.03,MODERADO
153,38,m,casado,3,1,57291,120000,36948.67692307692,112651,5729.1,0.6449,0.9388,0.1,MODERADO
154,65,f,soltero,2,1,12506,120000,45014.02307692308,97005,1250.6,3.5994,0.8084,0.1,MODERADO
155,19,m,unión libre,3,0,16326,80000,51876.27692307692,2605,3591.72,3.1775,0.0326,0.22,RIESGOSO
156,44,m,casado,1,1,26928,30000,59274.65384615384,21422,2692.8,2.2012,0.7141,0.1,RIESGOSO
157,21,m,divorciado,4,1,22920,50000,56893.92307692308,41142,2292.0,2.4823,0.8228,0.1,RIESGOSO
158,48,f,soltero,2,0,47902,50000,41671.64615384615,26450,1437.06,0.8699,0.529,0.03,SALUDABLE
159,43,m,soltero,1,0,15108,30000,47866.34615384616,16456,1510.8,3.1683,0.5485,0.1,RIESGOSO
160,63,f,divorciado,4,0,47034,15000,39656.19230769231,5550,4703.4,0.8431,0.37,0.1,SALUDABLE
161,66,m,casado,1,0,43674,50000,46217.49230769231,14119,4367.4,1.0582,0.2824,0.1,SALUDABLE
162,21,m,unión libre,0,1,64713,80000,42223.8,45595,14236.86,0.6525,0.5699,0.22,SALUDABLE
163,68,f,unión libre,0,1,32454,120000,40572.43076923077,117282,3245.4,1.2502,0.9774,0.1,MODERADO
164,31,f,casado,3,1,19108,120000,48499.13846153846,8099,573.24,2.5382,0.0675,0.03,RIESGOSO
165,63,f,soltero,0,1,61319,30000,52661.45384615385,10318,1839.57,0.8588,0.3439,0.03,SALUDABLE
166,22,m,unión libre,1,0,43971,120000,46012.45384615385,84636,1319.13,1.0464,0.7053,0.03,MODERADO
167,30,m,soltero,0,1,18871,30000,39909.907692307694,2398,566.13,2.1149,0.0799,0.03,RIESGOSO
168,55,m,divorciado,1,1,8342,15000,37774.56923076923,13284,250.26,4.5282,0.8856,0.03,RIESGOSO
169,44,m,divorciado,4,1,11221,15000,55870.161538461536,11939,1122.1,4.9791,0.7959,0.1,RIESGOSO
170,31,f,divorciado,2,1,39501,30000,46391.04615384615,960,8690.22,1.1744,0.032,0.22,SALUDABLE
171,18,m,divorciado,4,0,18988,120000,37560.53846153846,109085,1898.8,1.9781,0.909,0.1,MODERADO
172,46,m,divorciado,3,1,22930,15000,43701.13076923077,5881,687.9,1.9058,0.3921,0.03,RIESGOSO
173,41,f,divorciado,1,1,20903,30000,51801.53076923077,17841,4598.66,2.4782,0.5947,0.22,RIESGOSO
174,49,f,casado,1,0,58989,30000,44997.28461538461,26295,12977.58,0.7628,0.8765,0.22,SALUDABLE
175,29,m,divorciado,2,1,9889,15000,54825.93076923077,14607,988.9,5.5441,0.9738,0.1,RIESGOSO
176,45,m,soltero,2,1,18752,15000,44445.95384615385,431,4125.44,2.3702,0.0287,0.22,RIESGOSO
177,63,m,divorciado,1,0,66523,50000,56443.18461538461,18346,14635.06,0.8485,0.3669,0.22,SALUDABLE
178,38,f,divorciado,1,1,30902,30000,47469.46153846153,2198,927.06,1.5361,0.0733,0.03,RIESGOSO
179,38,f,divorciado,3,0,48032,50000,56455.19230769231,19895,1440.96,1.1754,0.3979,0.03,RIESGOSO
180,37,m,soltero,2,1,14262,50000,38867.7923076923,15293,1426.2,2.7253,0.3059,0.1,RIESGOSO
181,48,f,divorciado,4,0,76144,50000,37633.08461538461,28566,7614.4,0.4942,0.5713,0.1,SALUDABLE
182,42,f,soltero,3,0,55401,50000,40979.42307692308,19856,5540.1,0.7397,0.3971,0.1,SALUDABLE
183,51,f,unión libre,0,1,28459,15000,56152.44615384616,12275,2845.9,1.9731,0.8183,0.1,RIESGOSO
184,44,f,soltero,3,0,20295,80000,53154.67692307692,19304,608.85,2.6191,0.2413,0.03,RIESGOSO
185,55,f,divorciado,2,1,42606,50000,45225.32307692307,7622,4260.6,1.0615,0.1524,0.1,SALUDABLE
186,34,f,unión libre,2,1,52648,30000,53894.8923076923,3494,1579.44,1.0237,0.1165,0.03,SALUDABLE
187,54,m,divorciado,4,1,74259,30000,47264.26923076923,19444,16336.98,0.6365,0.6481,0.22,SALUDABLE
188,65,f,divorciado,1,1,50525,15000,29223.746153846158,699,5052.5,0.5784,0.0466,0.1,SALUDABLE
189,33,f,soltero,2,0,48640,120000,38534.49230769231,33282,10700.8,0.7922,0.2774,0.22,SALUDABLE
190,47,m,soltero,4,0,14516,80000,50811.3,79122,1451.6,3.5004,0.989,0.1,MODERADO
191,43,f,soltero,4,0,31552,30000,51197.838461538464,18976,946.56,1.6226,0.6325,0.03,RIESGOSO
192,28,f,casado,3,0,58921,50000,51131.730769230766,1397,1767.63,0.8678,0.0279,0.03,SALUDABLE
193,65,m,unión libre,2,0,15177,50000,37563.26923076923,1563,1517.7,2.475,0.0313,0.1,RIESGOSO
194,32,m,divorciado,2,0,76123,15000,47040.69230769231,5250,7612.3,0.618,0.35,0.1,SALUDABLE
195,54,m,divorciado,4,0,11949,120000,41760.54615384615,14661,2628.78,3.4949,0.1222,0.22,RIESGOSO
196,51,f,soltero,0,1,30005,30000,43962.31538461538,3810,3000.5,1.4652,0.127,0.1,RIESGOSO
197,55,m,casado,1,0,73673,50000,27607.08461538461,18515,2210.19,0.3747,0.3703,0.03,SALUDABLE
198,19,m,unión libre,0,0,13068,15000,38137.369230769225,3394,1306.8,2.9184,0.2263,0.1,RIESGOSO
199,52,m,casado,0,1,57545,50000,45704.93846153846,30929,12659.9,0.7942,0.6186,0.22,SALUDABLE
200,62,f,soltero,4,1,61786,80000,45763.31538461538,67066,6178.6,0.7407,0.8383,0.1,MODERADO
201,22,f,casado,2,1,67843,50000,37235.8,27418,2035.29,0.5489,0.5484,0.03,SALUDABLE
202,69,f,divorciado,0,0,41382,50000,43289.415384615386,13956,4138.2,1.0461,0.2791,0.1,SALUDABLE
203,28,f,casado,2,0,16087,80000,54485.830769230764,69414,1608.7,3.3869,0.8677,0.1,MODERADO
204,55,f,divorciado,0,1,18041,50000,47519.68461538461,34028,1804.1,2.634,0.6806,0.1,RIESGOSO
205,34,m,unión libre,3,0,79309,15000,41407.41538461538,11579,7930.9,0.5221,0.7719,0.1,SALUDABLE
206,44,m,divorciado,1,1,48112,80000,45059.07692307692,76016,4811.2,0.9365,0.9502,0.1,MODERADO
207,24,m,soltero,1,1,9261,120000,42211.415384615386,110464,2037.42,4.558,0.9205,0.22,MODERADO
208,66,m,divorciado,3,1,78825,15000,44973.376923076925,14641,17341.5,0.5705,0.9761,0.22,SALUDABLE
209,70,m,unión libre,3,1,47340,50000,40822.053846153845,32358,4734.0,0.8623,0.6472,0.1,SALUDABLE
210,30,f,unión libre,0,1,52045,15000,50605.25384615384,9430,1561.35,0.9723,0.6287,0.03,SALUDABLE
211,61,f,divorciado,3,1,19216,120000,33291.95384615385,105699,1921.6,1.7325,0.8808,0.1,MODERADO
212,61,f,divorciado,4,0,47811,15000,35779.93076923077,12391,1434.33,0.7484,0.8261,0.03,SALUDABLE
213,32,m,casado,2,1,29578,120000,43298.73846153846,56640,6507.16,1.4639,0.472,0.22,MODERADO
214,48,f,unión libre,4,0,55301,120000,47430.7923076923,55724,1659.03,0.8577,0.4644,0.03,MODERADO
215,65,f,divorciado,3,1,41984,120000,48383.31538461538,82970,1259.52,1.1524,0.6914,0.03,MODERADO
216,56,f,soltero,1,0,73303,80000,50043.23846153846,65607,7330.3,0.6827,0.8201,0.1,MODERADO
217,35,f,unión libre,1,0,57118,15000,40964.661538461536,8778,1713.54,0.7172,0.5852,0.03,SALUDABLE
218,45,f,unión libre,4,0,57231,50000,38235.85384615385,8121,5723.1,0.6681,0.1624,0.1,SALUDABLE
219,69,m,soltero,4,0,47187,120000,49591.723076923074,91666,1415.61,1.051,0.7639,0.03,MODERADO
220,41,m,soltero,1,1,18855,120000,47441.27692307692,12148,1885.5,2.5161,0.1012,0.1,RIESGOSO
221,27,f,casado,3,1,62036,120000,40731.14615384615,102776,6203.6,0.6566,0.8565,0.1,MODERADO
222,54,m,soltero,3,0,14421,30000,45779.32307692307,4454,1442.1,3.1745,0.1485,0.1,RIESGOSO
223,68,m,unión libre,3,1,15271,50000,41617.94615384616,21342,3359.62,2.7253,0.4268,0.22,RIESGOSO
224,39,f,soltero,3,0,52228,80000,26391.115384615383,33173,5222.8,0.5053,0.4147,0.1,SALUDABLE
225,23,m,casado,0,0,49043,30000,46007.838461538464,27362,10789.46,0.9381,0.9121,0.22,SALUDABLE
226,70,m,soltero,2,0,54008,50000,39688.06923076923,6308,5400.8,0.7349,0.1262,0.1,SALUDABLE
227,58,f,soltero,1,0,38724,50000,48473.97692307692,24011,3872.4,1.2518,0.4802,0.1,SALUDABLE
228,27,f,casado,2,1,73216,15000,50544.66923076923,11398,2196.48,0.6904,0.7599,0.03,SALUDABLE
229,69,f,unión libre,0,1,74647,15000,56603.64615384615,9599,7464.7,0.7583,0.6399,0.1,SALUDABLE
230,70,f,casado,1,1,76161,30000,51859.06923076923,19920,7616.1,0.6809,0.664,0.1,SALUDABLE
231,53,f,unión libre,4,1,66526,50000,36803.88461538462,40671,1995.78,0.5532,0.8134,0.03,SALUDABLE
232,46,m,soltero,2,0,71989,50000,49702.69230769231,18593,2159.67,0.6904,0.3719,0.03,SALUDABLE
233,26,f,unión libre,1,1,21676,50000,49381.75384615384,4903,650.28,2.2782,0.0981,0.03,RIESGOSO
234,33,f,casado,1,1,70221,30000,43436.761538461535,16040,7022.1,0.6186,0.5347,0.1,SALUDABLE
235,35,f,casado,1,0,45623,80000,49246.43076923076,46361,4562.3,1.0794,0.5795,0.1,MODERADO
236,47,m,casado,1,1,40952,80000,38118.65384615384,54550,4095.2,0.9308,0.6819,0.1,MODERADO
237,59,m,divorciado,3,1,35861,30000,48956.65384615384,9634,7889.42,1.3652,0.3211,0.22,SALUDABLE
238,19,f,casado,3,0,17567,120000,33823.984615384616,78189,527.01,1.9254,0.6516,0.03,MODERADO
239,67,f,unión libre,4,1,42939,30000,51998.28461538461,22194,4293.9,1.211,0.7398,0.1,SALUDABLE
240,18,m,casado,0,1,13780,15000,35374.10769230769,14905,413.4,2.5671,0.9937,0.03,RIESGOSO
